INFO:root:
Started
INFO:root:Batch 1, Batch Loss 0.072673

INFO:root:Batch 2, Batch Loss 1.646079

INFO:root:Batch 3, Batch Loss 0.000000

INFO:root:Batch 4, Batch Loss 0.088970

INFO:root:Batch 5, Batch Loss 0.112531

INFO:root:Batch 6, Batch Loss 0.846213

INFO:root:Batch 7, Batch Loss 0.189951

INFO:root:Batch 8, Batch Loss 0.285217

INFO:root:Batch 9, Batch Loss 1.161424

INFO:root:Batch 10, Batch Loss 1.467422

INFO:root:Batch 11, Batch Loss 1.324885

INFO:root:Batch 12, Batch Loss 0.064711

INFO:root:Batch 13, Batch Loss 1.416015

INFO:root:Batch 14, Batch Loss 2.113567

INFO:root:Batch 15, Batch Loss 0.262047

INFO:root:Batch 16, Batch Loss 0.175722

INFO:root:Batch 17, Batch Loss 0.123960

INFO:root:Batch 18, Batch Loss 0.000000

INFO:root:Batch 19, Batch Loss 0.357621

INFO:root:Batch 20, Batch Loss 0.788216

INFO:root:Batch 21, Batch Loss 0.492316

INFO:root:Batch 22, Batch Loss 1.524086

INFO:root:Batch 23, Batch Loss 0.367604

INFO:root:Batch 24, Batch Loss 0.079062

INFO:root:Batch 25, Batch Loss 0.249503

INFO:root:Batch 26, Batch Loss 0.288064

INFO:root:Batch 27, Batch Loss 0.522817

INFO:root:Batch 28, Batch Loss 1.184630

INFO:root:Batch 29, Batch Loss 0.367565

INFO:root:Batch 30, Batch Loss 0.624417

INFO:root:Batch 31, Batch Loss 0.000000

INFO:root:Batch 32, Batch Loss 1.193146

INFO:root:Batch 33, Batch Loss 0.000000

INFO:root:Batch 34, Batch Loss 0.285133

INFO:root:Batch 35, Batch Loss 0.451544

INFO:root:Batch 36, Batch Loss 0.000000

INFO:root:Batch 37, Batch Loss 0.505127

INFO:root:Batch 38, Batch Loss 0.000000

INFO:root:Batch 39, Batch Loss 0.610260

INFO:root:Batch 40, Batch Loss 0.340472

INFO:root:Batch 41, Batch Loss 0.293726

INFO:root:Batch 42, Batch Loss 0.090888

INFO:root:Batch 43, Batch Loss 0.576838

INFO:root:Batch 44, Batch Loss 1.152311

INFO:root:Batch 45, Batch Loss 0.027464

INFO:root:Batch 46, Batch Loss 0.207762

INFO:root:Batch 47, Batch Loss 0.071642

INFO:root:Batch 48, Batch Loss 0.508523

INFO:root:Batch 49, Batch Loss 0.568692

INFO:root:Batch 50, Batch Loss 1.109145

INFO:root:Batch 51, Batch Loss 1.010417

INFO:root:Batch 52, Batch Loss 0.509545

INFO:root:Batch 53, Batch Loss 1.080503

INFO:root:Batch 54, Batch Loss 0.435387

INFO:root:Batch 55, Batch Loss 0.084062

INFO:root:Batch 56, Batch Loss 0.192927

INFO:root:Batch 57, Batch Loss 0.526779

INFO:root:Batch 58, Batch Loss 0.000000

INFO:root:Batch 59, Batch Loss 1.191905

INFO:root:Batch 60, Batch Loss 0.354725

INFO:root:Batch 61, Batch Loss 0.458334

INFO:root:Batch 62, Batch Loss 0.248678

INFO:root:Batch 63, Batch Loss 0.378393

INFO:root:Batch 64, Batch Loss 0.063024

INFO:root:Batch 65, Batch Loss 0.536952

INFO:root:Batch 66, Batch Loss 0.045573

INFO:root:Batch 67, Batch Loss 0.747443

INFO:root:Batch 68, Batch Loss 0.055924

INFO:root:Batch 69, Batch Loss 0.466545

INFO:root:Batch 70, Batch Loss 0.161728

INFO:root:Batch 71, Batch Loss 0.030528

INFO:root:Batch 72, Batch Loss 0.685496

INFO:root:Batch 73, Batch Loss 0.571155

INFO:root:Batch 74, Batch Loss 0.412829

INFO:root:Batch 75, Batch Loss 0.254689

INFO:root:Batch 76, Batch Loss 0.423865

INFO:root:Batch 77, Batch Loss 0.044430

